,alpha,random_state,tol
0.260631430515475,0.01,24,0.1
0.25756478488658685,0.01,24,1.0
0.26629528812254927,0.01,25,0.0001
0.2661137794431754,0.01,25,0.001
0.26386901142962843,0.01,25,0.01
0.26346223191512236,0.01,25,0.1
0.2643459826061054,0.01,25,1.0
0.26627438978842155,0.01,26,0.0001
0.2662565604045206,0.01,26,0.001
0.266589654489154,0.01,26,0.01
0.26626354379847034,0.01,27,0.0001
0.2661202017565129,0.01,27,0.001
0.26611719856602184,0.01,27,0.01
0.25729494959116533,0.01,27,0.1
0.255088806262414,0.01,27,1.0
0.2662703928886946,0.01,28,0.0001
0.2661003232769863,0.01,28,0.001
0.26618908196197716,0.01,28,0.01
0.2688059026389793,0.01,28,0.1
0.2662777357027169,0.01,29,0.0001
0.2663724812865336,0.01,29,0.001
0.26561657356786006,0.01,29,0.01
0.2662698590627255,0.01,30,0.0001
0.26622451947473574,0.01,30,0.001
0.2668967986037234,0.01,30,0.01
0.2663264339269383,0.01,31,0.0001
0.26663146722298087,0.01,31,0.001
0.2676688698694455,0.01,31,0.01
0.26626464661329774,0.01,32,0.0001
0.2661640224025773,0.01,32,0.001
0.26503305729356963,0.01,32,0.01
0.26156168314846595,0.01,32,0.1
0.26628056004691125,0.01,33,0.0001
0.26624733971684744,0.01,33,0.001
0.26586081007432133,0.01,33,0.01
0.26627043015425217,0.01,34,0.0001
0.26630162748506025,0.01,34,0.001
0.26653869402113634,0.01,34,0.01
0.2642455971765948,0.01,34,0.1
0.26627683250937223,0.01,35,0.0001
0.2663850766706204,0.01,35,0.001
0.2666653602699097,0.01,35,0.01
0.26842004249276935,0.01,35,0.1
0.26626159966326773,0.01,36,0.0001
0.2660318747047373,0.01,36,0.001
0.264751134541771,0.01,36,0.01
0.26262647079163326,0.01,36,0.1
0.2662488795114922,0.01,37,0.0001
0.26600397329900927,0.01,37,0.001
0.2654900636857867,0.01,37,0.01
0.26616489402248056,0.01,37,0.1
0.2662791382208569,0.01,38,0.0001
