,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.26977272704950245,2,6,cd,4,0.3,2,50,36
0.26932683350397724,2,6,cd,4,0.3,2,50,47
0.25827486405091954,2,6,cd,4,0.3,3,30,7
0.2689477002360773,2,6,cd,4,0.3,3,30,15
0.26517165217414795,2,6,cd,4,0.3,3,30,20
0.2656814236339668,2,6,cd,4,0.3,3,30,21
0.26967179609388847,2,6,cd,4,0.3,3,30,26
0.2676870866539375,2,6,cd,4,0.3,3,30,33
0.2691700789806673,2,6,cd,4,0.3,3,30,34
0.26997035972977496,2,6,cd,4,0.3,3,30,44
0.2645311910813525,2,6,cd,4,0.3,3,30,46
0.2693241393710257,2,6,cd,4,0.3,3,50,10
0.2675157817228305,2,6,cd,4,0.3,3,50,20
0.26930307543678034,2,6,cd,4,0.3,3,50,44
0.267435285991299,2,6,cd,4,0.3,3,50,46
0.2685445364949885,2,6,cd,4,0.5,2,30,6
0.26904600052506195,2,6,cd,4,0.5,2,30,20
0.2619862718452371,2,6,cd,4,0.5,2,30,49
0.265686034649142,2,6,cd,4,0.5,2,50,49
0.26889092676671306,2,6,cd,4,0.5,3,30,12
0.2617466674408643,2,6,cd,4,0.5,3,30,20
0.2651512379820377,2,6,cd,4,0.5,3,30,49
0.26934618071060124,2,6,cd,4,0.5,3,50,12
0.2677021948219543,2,6,cd,4,0.5,3,50,20
0.2685743110036684,2,6,cd,4,0.5,3,50,49
0.2646732128770383,2,6,cd,5,0.3,2,30,6
0.26463058549709756,2,6,cd,5,0.3,2,30,7
0.2688785468173688,2,6,cd,5,0.3,2,30,9
0.2623874212603042,2,6,cd,5,0.3,2,30,25
0.2682334667959908,2,6,cd,5,0.3,2,30,26
0.2618557927165747,2,6,cd,5,0.3,2,30,33
0.26708947362987273,2,6,cd,5,0.3,2,30,35
0.2694431203742466,2,6,cd,5,0.3,2,30,49
0.26606866697004244,2,6,cd,5,0.3,2,50,2
