,max_depth,max_features,min_samples_split,n_estimators,random_state
0.2619383977852586,4,0.3,2,60,40
0.2639532985288594,4,0.3,2,60,41
0.2589132019419038,4,0.3,2,60,43
0.26356904615305454,4,0.3,2,60,44
0.2636276810549465,4,0.3,2,60,45
0.26310744735128183,4,0.3,2,60,46
0.26975072904153163,4,0.3,2,60,47
0.2638904729661343,4,0.3,2,60,48
0.2495469669760848,4,0.3,2,60,49
0.2599586474456793,4,0.3,2,60,50
0.26570694842901876,4,0.3,3,50,2
0.26571159054843835,4,0.3,3,50,3
0.2647866568437734,4,0.3,3,50,4
0.26036937291976986,4,0.3,3,50,5
0.2612396809907557,4,0.3,3,50,6
0.26575803101856665,4,0.3,3,50,7
0.2673371074072059,4,0.3,3,50,8
0.2560026845240854,4,0.3,3,50,9
0.2586317248760614,4,0.3,3,50,10
0.2659628952265572,4,0.3,3,50,12
0.26069306256654784,4,0.3,3,50,13
0.2637060067582215,4,0.3,3,50,15
0.2665832180544439,4,0.3,3,50,16
0.2599214746260717,4,0.3,3,50,17
0.26316386491107846,4,0.3,3,50,18
0.2597913758223737,4,0.3,3,50,20
0.26450621160529125,4,0.3,3,50,22
0.2650345484066398,4,0.3,3,50,23
0.2564566562926624,4,0.3,3,50,24
0.26197099148475483,4,0.3,3,50,25
0.2539591791415542,4,0.3,3,50,26
0.2645731901955871,4,0.3,3,50,27
0.26143183322416014,4,0.3,3,50,28
0.26610335025905757,4,0.3,3,50,29
0.2649215459917307,4,0.3,3,50,30
0.251885275777996,4,0.3,3,50,31
0.2534421587893432,4,0.3,3,50,32
0.2624665704059882,4,0.3,3,50,33
0.254864608892859,4,0.3,3,50,34
0.26403904694339214,4,0.3,3,50,35
0.26763926716567227,4,0.3,3,50,36
0.264009767729541,4,0.3,3,50,37
0.2619900167881522,4,0.3,3,50,38
0.2600419126971009,4,0.3,3,50,39
0.26400286489076424,4,0.3,3,50,40
0.2565741715883793,4,0.3,3,50,41
0.2595389356002501,4,0.3,3,50,43
0.26743322576520695,4,0.3,3,50,44
0.26768699026464426,4,0.3,3,50,45
0.26089954913951063,4,0.3,3,50,46
0.2628945258396187,4,0.3,3,50,47
0.2658136175530287,4,0.3,3,50,48
