MAE,Model,Features,nmf__alpha,nmf__n_components,nmf__solver,dt__max_depth,dt__min_samples_split,dt__random_state,dt__max_features,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state,alpha,random_state,tol,max_depth,max_features,min_samples_split,n_estimators
0.2579872621617018,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,2.0,30.0,34.0,,,,,,,
0.2579875569190456,NMF->RF,All_features,2.0,6.0,cd,,,,,4.0,0.5,2.0,30.0,13.0,,,,,,,
0.25799327109759257,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,30.0,3.0,,,,,,,
0.2579935076135726,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,2.0,30.0,31.0,,,,,,,
0.2579947226919491,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.5,2.0,30.0,39.0,,,,,,,
0.2579973405456297,NMF->DT (MF),All_features,2.0,5.0,cd,4.0,4.0,29.0,0.5,,,,,,,,,,,,
0.25799828395119234,NMF->DT (MF),All_features,2.0,6.0,cd,4.0,2.0,11.0,0.7,,,,,,,,,,,,
0.25800322205689297,NMF->RF,All_features,2.0,6.0,cd,,,,,5.0,0.5,3.0,50.0,34.0,,,,,,,
0.258005336974883,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.5,3.0,30.0,36.0,,,,,,,
0.2580067551678086,NMF->RF,All_features,1.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,33.0,,,,,,,
0.2580082581270402,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,29.0,,,,,,,
0.25800933779605906,RF,All_features,,,,,,,,,,,,,,33.0,,3.0,0.5,2.0,50.0
0.2580104556840833,NMF->RF,All_features,1.0,7.0,cd,,,,,5.0,0.5,3.0,50.0,4.0,,,,,,,
0.2580107492836634,NMF->RF,All_features,2.0,7.0,cd,,,,,5.0,0.3,3.0,30.0,18.0,,,,,,,
0.2580111296330616,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.3,3.0,50.0,14.0,,,,,,,
0.25801141249012466,NMF->RF,All_features,2.0,7.0,cd,,,,,4.0,0.3,3.0,30.0,22.0,,,,,,,
0.2580115275433027,NMF->DT (MF),Theory_features,2.0,5.0,cd,3.0,4.0,16.0,0.5,,,,,,,,,,,,
0.2580131600312397,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,3.0,50.0,25.0,,,,,,,
0.2580144615020434,NMF->RF,All_features,2.0,6.0,cd,,,,,4.0,0.3,2.0,50.0,34.0,,,,,,,
0.2580174952930652,NMF->RF,All_features,2.0,5.0,cd,,,,,5.0,0.5,2.0,30.0,34.0,,,,,,,
0.25801821753848925,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.3,2.0,50.0,39.0,,,,,,,
0.2580224988018263,NMF->RF,All_features,2.0,5.0,cd,,,,,4.0,0.3,3.0,50.0,17.0,,,,,,,
