,dt__max_depth,dt__max_features,dt__min_samples_split,dt__random_state,nmf__alpha,nmf__n_components,nmf__solver
0.26741197292410107,4,0.7,3,5,2.0,6,cd
0.2503413820078778,4,0.7,3,6,2.0,7,cd
0.26470369383669795,4,0.7,3,7,2.0,7,cd
0.263564903536824,4,0.7,3,8,2.0,5,cd
0.2593093262387561,4,0.7,3,9,1.0,6,cd
0.25765137986282677,4,0.7,3,9,2.0,6,cd
0.26719464643049473,4,0.7,3,10,2.0,6,cd
0.24323762213512665,4,0.7,3,11,1.0,7,cd
0.255705069852587,4,0.7,3,11,2.0,6,cd
0.26982080188179897,4,0.7,3,12,1.0,6,cd
0.24597320022103283,4,0.7,3,12,2.0,6,cd
0.26341258073188706,4,0.7,3,18,2.0,6,cd
0.266102755909372,4,0.7,3,19,1.0,6,cd
0.2663610449291198,4,0.7,3,19,2.0,7,cd
0.26929052871087056,4,0.7,3,20,2.0,6,cd
0.2609726294417634,4,0.7,3,22,2.0,6,cd
0.25966234728866716,4,0.7,3,27,1.0,7,cd
0.2541015517535182,4,0.7,3,27,2.0,6,cd
0.2689928023370508,4,0.7,3,29,1.0,6,cd
0.26981078406374365,4,0.7,3,29,2.0,5,cd
0.25502094930128894,4,0.7,3,29,2.0,6,cd
0.2673520864158461,4,0.7,3,30,1.0,6,cd
0.2645075826332674,4,0.7,3,32,1.0,7,cd
0.2669082326818994,4,0.7,3,36,2.0,6,cd
0.2621494896672119,4,0.7,3,37,2.0,6,cd
0.2673916447834605,4,0.7,3,39,2.0,6,cd
0.25295680078115457,4,0.7,3,41,2.0,6,cd
0.26905988824437815,4,0.7,3,47,1.0,7,cd
0.2681140503108293,4,0.7,3,47,2.0,6,cd
0.25280646717806854,4,0.7,3,49,2.0,6,cd
0.25809867565857675,4,0.7,4,2,2.0,6,cd
0.262078948641689,4,0.7,4,3,1.0,6,cd
0.26551800358644484,4,0.7,4,4,2.0,5,cd
0.2653961339434303,4,0.7,4,4,2.0,6,cd
0.25697013327395113,4,0.7,4,5,2.0,6,cd
0.2588258959813503,4,0.7,4,7,2.0,7,cd
0.26704671724599066,4,0.7,4,8,2.0,5,cd
0.262407747037286,4,0.7,4,9,0.5,7,cd
0.241103393190773,4,0.7,4,9,1.0,6,cd
0.2623578331204112,4,0.7,4,9,2.0,6,cd
0.2540896261543226,4,0.7,4,10,2.0,6,cd
0.23769854859901365,4,0.7,4,11,1.0,7,cd
0.25945187787260937,4,0.7,4,11,2.0,6,cd
0.2687750100938974,4,0.7,4,11,2.0,7,cd
0.2545564247780426,4,0.7,4,12,2.0,6,cd
0.26705924724895563,4,0.7,4,19,1.0,6,cd
0.2629483696028632,4,0.7,4,19,2.0,6,cd
0.25778919708392106,4,0.7,4,19,2.0,7,cd
0.2686534974861059,4,0.7,4,20,2.0,6,cd
0.2634076575411689,4,0.7,4,22,2.0,6,cd
0.2691473780310876,4,0.7,4,24,2.0,7,cd
0.24390361087393567,4,0.7,4,25,1.0,6,cd
0.26569161307266126,4,0.7,4,25,2.0,5,cd
0.26453334417814395,4,0.7,4,27,2.0,6,cd
0.2611994183394993,4,0.7,4,29,2.0,6,cd
0.26130723865581895,4,0.7,4,32,1.0,7,cd
0.2562776380504685,4,0.7,4,36,2.0,6,cd
0.2600706413530917,4,0.7,4,38,1.0,6,cd
0.25933878075876965,4,0.7,4,38,2.0,6,cd
0.2686348234302106,4,0.7,4,39,2.0,6,cd
0.25345049005714204,4,0.7,4,40,2.0,6,cd
0.26361502181162927,4,0.7,4,41,2.0,6,cd
0.26535010709566237,4,0.7,4,43,1.0,6,cd
0.2633659876187571,4,0.7,4,45,1.0,6,cd
0.26072072412141534,4,0.7,4,45,2.0,6,cd
0.24040983167417082,4,0.7,4,49,2.0,6,cd
0.2675183647667136,4,0.7,4,50,1.0,6,cd
0.2671752165554913,5,0.3,2,3,2.0,7,cd
0.2602920727719379,5,0.3,2,4,1.0,5,cd
0.26500486722530353,5,0.3,2,5,1.0,5,cd
0.2570231923235495,5,0.3,2,9,1.0,5,cd
0.2670147640544078,5,0.3,2,9,2.0,5,cd
0.26187813351447803,5,0.3,2,9,2.0,6,cd
0.2579061031681853,5,0.3,2,16,1.0,7,cd
0.24491078480834116,5,0.3,2,17,0.5,5,cd
0.2576388230956042,5,0.3,2,17,1.0,5,cd
0.2676436256837525,5,0.3,2,17,2.0,6,cd
0.2692544136421753,5,0.3,2,19,2.0,7,cd
0.25707287671853996,5,0.3,2,22,1.0,7,cd
0.26547056350042203,5,0.3,2,26,0.5,6,cd
0.265009074423537,5,0.3,2,29,1.0,7,cd
0.2543894196561247,5,0.3,2,30,1.0,7,cd
0.26421088475523996,5,0.3,2,41,1.0,5,cd
0.2685840789458442,5,0.3,2,44,2.0,6,cd
0.2581768001597646,5,0.3,2,45,2.0,6,cd
0.2610601316284089,5,0.3,2,46,2.0,5,cd
0.25620815708420397,5,0.3,2,49,2.0,5,cd
0.2568777446934585,5,0.3,3,3,2.0,5,cd
0.2645303523027405,5,0.3,3,4,2.0,6,cd
0.26810578039836636,5,0.3,3,6,0.5,7,cd
0.2675992463629217,5,0.3,3,10,2.0,7,cd
0.2569645934622163,5,0.3,3,15,2.0,5,cd
0.25792367304765434,5,0.3,3,17,0.5,5,cd
0.24664165318572315,5,0.3,3,22,1.0,7,cd
0.26516979573085736,5,0.3,3,32,2.0,6,cd
0.2566758582662184,5,0.3,3,33,1.0,7,cd
0.26635747950778144,5,0.3,3,43,2.0,6,cd
0.26238620717422634,5,0.3,3,44,2.0,6,cd
0.26980559495287537,5,0.3,3,48,1.0,5,cd
0.261330017803798,5,0.3,3,50,1.0,5,cd
0.2576871239020926,5,0.3,4,3,2.0,7,cd
0.257799146035802,5,0.3,4,5,1.0,5,cd
0.2649418091144119,5,0.3,4,6,1.0,7,cd
0.26823761115181505,5,0.3,4,6,2.0,5,cd
0.2552540492567624,5,0.3,4,9,2.0,6,cd
0.2600811363003539,5,0.3,4,13,2.0,6,cd
0.2678526201449243,5,0.3,4,14,2.0,5,cd
0.26452133927149446,5,0.3,4,17,1.0,5,cd
0.2381013777769726,5,0.3,4,17,2.0,6,cd
0.259886707252264,5,0.3,4,19,2.0,6,cd
0.26611667467625016,5,0.3,4,20,0.5,6,cd
0.2653480152469739,5,0.3,4,20,2.0,6,cd
0.26572099854541253,5,0.3,4,27,2.0,6,cd
0.26864785207443065,5,0.3,4,31,0.5,7,cd
0.26979269681283086,5,0.3,4,32,1.0,6,cd
0.26558220209197647,5,0.3,4,32,2.0,5,cd
0.25523001152444863,5,0.3,4,32,2.0,6,cd
0.2677073134085352,5,0.3,4,33,1.0,7,cd
