,alpha,random_state,tol
0.26578901676917366,0.01,22,1.0
0.263936670610155,0.01,23,0.0001
0.26411473454336204,0.01,23,0.001
0.2635873961232165,0.01,23,0.01
0.26419618569723297,0.01,23,0.1
0.2638575594791216,0.01,24,0.0001
0.2636918611171811,0.01,24,0.001
0.2643641691236355,0.01,24,0.01
0.2670203890245268,0.01,24,0.1
0.26387952993395253,0.01,25,0.0001
0.2637557761230325,0.01,25,0.001
0.26456501286641493,0.01,25,0.01
0.26735083077209126,0.01,25,0.1
0.26390720075607327,0.01,26,0.0001
0.26364549447648405,0.01,26,0.001
0.26328060322367985,0.01,26,0.01
0.2679048685022112,0.01,26,0.1
0.26390041228599304,0.01,27,0.0001
0.2635652294290636,0.01,27,0.001
0.2664955081351539,0.01,27,0.01
0.269011177987274,0.01,27,0.1
0.2638803168952818,0.01,28,0.0001
0.2636462414740751,0.01,28,0.001
0.2630954566840307,0.01,28,0.01
0.26392962254653124,0.01,29,0.0001
0.2640757385387656,0.01,29,0.001
0.263950005564594,0.01,29,0.01
0.26402912258844546,0.01,29,0.1
0.26388353927143515,0.01,30,0.0001
0.2636996562540471,0.01,30,0.001
0.2646782948219454,0.01,30,0.01
0.2643994724783792,0.01,30,0.1
0.263894410632193,0.01,31,0.0001
0.26377531412037286,0.01,31,0.001
0.2632750422863771,0.01,31,0.01
0.2678334037325123,0.01,31,0.1
0.2680667804878952,0.01,31,1.0
0.2638699495241859,0.01,32,0.0001
0.26375470141740315,0.01,32,0.001
0.2631471236865162,0.01,32,0.01
0.26449344810582404,0.01,32,0.1
0.26434553803034394,0.01,32,1.0
0.2638703493235887,0.01,33,0.0001
0.26352413547017234,0.01,33,0.001
0.26321259299021155,0.01,33,0.01
0.2584790463900917,0.01,33,0.1
0.26157093412589816,0.01,33,1.0
0.26386936112618586,0.01,34,0.0001
0.26376619362401543,0.01,34,0.001
0.26275275048627006,0.01,34,0.01
0.26629343210008954,0.01,34,0.1
0.2558098891900837,0.01,34,1.0
0.2639467777997862,0.01,35,0.0001
0.2639898980778349,0.01,35,0.001
0.2643932386196136,0.01,35,0.01
0.25794716128233375,0.01,35,0.1
0.2603459201707545,0.01,35,1.0
0.2638979429693236,0.01,36,0.0001
0.26373406145245176,0.01,36,0.001
0.26355508322107113,0.01,36,0.01
0.2693425052666173,0.01,36,0.1
0.26388922320838887,0.01,37,0.0001
0.2634219689016473,0.01,37,0.001
0.2631109570042023,0.01,37,0.01
0.2699951313851736,0.01,37,0.1
0.2639252500843628,0.01,38,0.0001
0.26408699464917035,0.01,38,0.001
0.2642125611846853,0.01,38,0.01
0.2606259782863655,0.01,38,0.1
0.26394179689608027,0.01,39,0.0001
0.264055931837303,0.01,39,0.001
0.26313283468691406,0.01,39,0.01
0.2612372879823709,0.01,39,0.1
0.25622997261916397,0.01,39,1.0
0.2638937222488229,0.01,40,0.0001
0.26350645219829366,0.01,40,0.001
0.2627711569445302,0.01,40,0.01
0.26385089200460116,0.01,41,0.0001
0.2634215869158339,0.01,41,0.001
0.2640330494728303,0.01,41,0.01
0.26741806514427996,0.01,41,0.1
0.26384763065688716,0.01,42,0.0001
0.26353986151604253,0.01,42,0.001
0.2634048191310864,0.01,42,0.01
0.2633781507203939,0.01,42,0.1
0.2638835885727376,0.01,43,0.0001
0.2636091924399269,0.01,43,0.001
0.2656642749876559,0.01,43,0.01
0.2639254171254488,0.01,44,0.0001
0.2638682635292465,0.01,44,0.001
0.26343497619731976,0.01,44,0.01
0.25838400605609063,0.01,44,0.1
0.2653607246932278,0.01,44,1.0
0.26390038702769314,0.01,45,0.0001
0.26351939709898736,0.01,45,0.001
0.2635825053926663,0.01,45,0.01
0.26749936980199784,0.01,45,0.1
0.26384772966274145,0.01,46,0.0001
0.26383695043178346,0.01,46,0.001
0.2644810775954031,0.01,46,0.01
0.2685910704982637,0.01,46,1.0
0.2638787122501596,0.01,47,0.0001
0.26382485703044,0.01,47,0.001
0.2631913034664859,0.01,47,0.01
0.2698478629012114,0.01,47,0.1
0.26393008456060413,0.01,48,0.0001
0.264081184002499,0.01,48,0.001
0.26256956096586825,0.01,48,0.01
0.26159398924166083,0.01,48,0.1
0.269944795534083,0.01,48,1.0
