,nmf__alpha,nmf__n_components,nmf__solver,rf__max_depth,rf__max_features,rf__min_samples_split,rf__n_estimators,rf__random_state
0.26053927758214057,1,5,cd,4,0.3,2,50,18
0.2684634536223304,1,5,cd,4,0.3,2,50,22
0.2577179427412905,1,5,cd,4,0.3,2,50,24
0.26964947063966044,1,5,cd,4,0.3,2,50,28
0.2668865836904262,1,5,cd,4,0.3,2,50,33
0.2568303479187787,1,5,cd,4,0.3,2,50,34
0.26801758959393385,1,5,cd,4,0.3,2,50,35
0.26546653055995334,1,5,cd,4,0.3,2,50,36
0.2662013702091963,1,5,cd,4,0.3,2,50,37
0.2697546295159275,1,5,cd,4,0.3,2,50,40
0.26248864624737667,1,5,cd,4,0.3,2,50,42
0.2627219047700819,1,5,cd,4,0.3,2,50,43
0.2669354742721553,1,5,cd,4,0.3,2,50,45
0.2625691547534837,1,5,cd,4,0.3,2,50,46
0.26994669294475365,1,5,cd,4,0.3,2,50,47
0.2656026698517011,1,5,cd,4,0.3,2,50,49
0.26731718301845764,1,5,cd,4,0.3,3,30,3
0.268362482545772,1,5,cd,4,0.3,3,30,4
0.26363373795690676,1,5,cd,4,0.3,3,30,5
0.2574707376357355,1,5,cd,4,0.3,3,30,7
0.2698325542250367,1,5,cd,4,0.3,3,30,12
0.26604588194083223,1,5,cd,4,0.3,3,30,13
0.2660876294677512,1,5,cd,4,0.3,3,30,14
0.26851517949560005,1,5,cd,4,0.3,3,30,15
0.2681276041469802,1,5,cd,4,0.3,3,30,16
0.2613652757935988,1,5,cd,4,0.3,3,30,17
0.2645257359405792,1,5,cd,4,0.3,3,30,18
0.2632872805170123,1,5,cd,4,0.3,3,30,24
0.2675195776875944,1,5,cd,4,0.3,3,30,29
0.26998973482931393,1,5,cd,4,0.3,3,30,30
0.26812033069064606,1,5,cd,4,0.3,3,30,31
0.2653234852078654,1,5,cd,4,0.3,3,30,34
0.2661999872660472,1,5,cd,4,0.3,3,30,36
0.2667505993303723,1,5,cd,4,0.3,3,30,37
0.26182406532460684,1,5,cd,4,0.3,3,30,43
0.25823492158056083,1,5,cd,4,0.3,3,30,49
0.2684042097632101,1,5,cd,4,0.3,3,30,50
